miRNA,Gene
hsa-miR-125a-3p,FYN
hsa-miR-128-3p,FYN
hsa-miR-34c-3p,FYN
hsa-miR-431-5p,FYN
hsa-miR-186-5p,GNAI1
hsa-miR-329-3p,GNAI1
hsa-miR-409-5p,GNAI1
hsa-miR-603,GNAI1
hsa-miR-148b-3p,GNAI2
hsa-miR-218-5p,GNAI2
hsa-miR-30a-5p,GNAI2
hsa-miR-30b-5p,GNAI2
hsa-miR-30c-5p,GNAI2
hsa-miR-30d-5p,GNAI2
hsa-miR-30e-5p,GNAI2
hsa-miR-3150b-3p,GNAI2
hsa-miR-455-3p,GNAI2
hsa-miR-92b-3p,GNAI2
hsa-miR-181a-5p,GNAI3
hsa-miR-431-5p,GNAI3
hsa-miR-1297,GSK3B
hsa-miR-155-5p,GSK3B
hsa-miR-15a-5p,GSK3B
hsa-miR-15b-5p,GSK3B
hsa-miR-16-5p,GSK3B
hsa-miR-199a-5p,GSK3B
hsa-miR-26a-5p,GSK3B
hsa-miR-26b-5p,GSK3B
hsa-miR-29b-3p,GSK3B
hsa-miR-3606-3p,GSK3B
hsa-miR-374a-5p,GSK3B
hsa-miR-374b-5p,GSK3B
hsa-miR-377-3p,GSK3B
hsa-miR-409-3p,GSK3B
hsa-miR-409-5p,GSK3B
hsa-miR-410-3p,GSK3B
hsa-miR-513a-3p,GSK3B
hsa-miR-92a-3p,GSK3B
hsa-miR-122-5p,GSTM3
hsa-miR-5001-3p,GSTM3
hsa-miR-92b-3p,GSTM3
hsa-miR-484,HCLS1
hsa-let-7a-5p,HRAS
hsa-let-7b-5p,HRAS
hsa-miR-143-3p,HRAS
hsa-miR-181a-5p,HRAS
hsa-miR-181d-5p,HRAS
hsa-miR-146a-5p,HSPA1A
hsa-miR-15a-5p,HSPA1A
hsa-miR-16-5p,HSPA1A
hsa-miR-34a-5p,HSPA1A
hsa-let-7b-5p,HSPA1B
hsa-miR-106b-5p,HSPA1B
hsa-miR-10a-5p,HSPA1B
hsa-miR-125b-5p,HSPA1B
hsa-miR-1276,HSPA1B
hsa-miR-132-3p,HSPA1B
hsa-miR-142-3p,HSPA1B
hsa-miR-149-5p,HSPA1B
hsa-miR-15a-5p,HSPA1B
hsa-miR-15b-5p,HSPA1B
hsa-miR-16-5p,HSPA1B
hsa-miR-181a-5p,HSPA1B
hsa-miR-181b-5p,HSPA1B
hsa-miR-181d-5p,HSPA1B
hsa-miR-197-3p,HSPA1B
hsa-miR-221-3p,HSPA1B
hsa-miR-22-3p,HSPA1B
hsa-miR-25-3p,HSPA1B
hsa-miR-30d-5p,HSPA1B
hsa-miR-324-3p,HSPA1B
hsa-miR-324-5p,HSPA1B
hsa-miR-331-3p,HSPA1B
hsa-miR-339-5p,HSPA1B
hsa-miR-34a-5p,HSPA1B
hsa-miR-3613-3p,HSPA1B
hsa-miR-361-5p,HSPA1B
hsa-miR-423-3p,HSPA1B
hsa-miR-424-5p,HSPA1B
hsa-miR-455-3p,HSPA1B
hsa-miR-484,HSPA1B
hsa-miR-495-3p,HSPA1B
hsa-miR-505-3p,HSPA1B
hsa-miR-520d-5p,HSPA1B
hsa-miR-548ah-3p,HSPA1B
hsa-miR-548h-3p,HSPA1B
hsa-miR-548j-3p,HSPA1B
hsa-miR-548z,HSPA1B
hsa-miR-570-3p,HSPA1B
hsa-miR-579-3p,HSPA1B
hsa-miR-627-5p,HSPA1B
hsa-miR-92a-3p,HSPA1B
